2019-06-11-21-41-42.160238 -42 96 30 0
2019-06-11-21-41-42.192960 -42 96 30 0
2019-06-11-21-41-42.226549 -23 26 30 0
2019-06-11-21-41-42.257887 16 46 30 0
2019-06-11-21-41-42.287952 123 66 30 0
2019-06-11-21-41-42.323250 26 76 30 0
2019-06-11-21-41-42.365979 -103 0 13 0
2019-06-11-21-41-42.402259 -171 26 13 0
2019-06-11-21-41-42.436157 -373 46 13 0
2019-06-11-21-41-42.471446 -373 46 13 0
2019-06-11-21-41-42.515819 -373 46 13 0
2019-06-11-21-41-42.555093 -1158 96 13 0
2019-06-11-21-41-42.599063 -713 16 13 0
2019-06-11-21-41-42.632701 -210 46 13 0
2019-06-11-21-41-42.665549 -103 56 13 0
2019-06-11-21-41-42.708749 534 66 13 0
2019-06-11-21-41-42.743096 875 86 13 0
2019-06-11-21-41-42.775389 705 16 13 0
2019-06-11-21-41-42.817569 913 25 13 0
2019-06-11-21-41-42.854563 432 56 13 0
2019-06-11-21-41-42.889049 122 76 13 0
2019-06-11-21-41-42.924534 963 96 13 0
2019-06-11-21-41-42.957167 916 16 13 0
2019-06-11-21-41-42.992206 328 26 13 0
2019-06-11-21-41-43.038623 160 36 13 0
2019-06-11-21-41-43.074131 -109 56 13 0
2019-06-11-21-41-43.110293 -209 66 13 0
2019-06-11-21-41-43.144471 -133 96 13 0
2019-06-11-21-41-43.182103 105 16 13 0
2019-06-11-21-41-43.221468 -97 36 13 0
2019-06-11-21-41-43.259627 -1 56 13 0
2019-06-11-21-41-43.294648 154 76 13 0
2019-06-11-21-41-43.330806 -52 96 13 0
2019-06-11-21-41-43.362602 75 15 20 0
2019-06-11-21-41-43.397185 75 15 20 0
2019-06-11-21-41-43.432767 8 25 20 0
2019-06-11-21-41-43.467817 -52 75 20 0
2019-06-11-21-41-43.497845 -86 95 20 0
2019-06-11-21-41-43.527065 61 15 20 0
2019-06-11-21-41-43.560819 61 15 20 0
2019-06-11-21-41-43.598860 122 35 20 0
2019-06-11-21-41-43.631193 -40 55 20 0
2019-06-11-21-41-43.661314 -78 65 20 0
2019-06-11-21-41-43.701357 -78 65 20 0
2019-06-11-21-41-43.738754 -110 5 20 0
2019-06-11-21-41-43.774107 33 35 20 0
2019-06-11-21-41-43.810743 55 45 20 0
2019-06-11-21-41-43.841567 102 65 20 0
2019-06-11-21-41-43.874463 -119 85 20 0
2019-06-11-21-41-43.909338 -131 5 20 0
2019-06-11-21-41-43.938464 139 25 20 0
2019-06-11-21-41-43.973510 139 25 20 0
2019-06-11-21-41-44.018060 -7 45 20 0
2019-06-11-21-41-44.052033 -87 75 20 0
2019-06-11-21-41-44.086393 -54 95 20 0
2019-06-11-21-41-44.123435 38 15 20 0
2019-06-11-21-41-44.157312 108 35 20 0
2019-06-11-21-41-44.200943 168 45 20 0
2019-06-11-21-41-44.239267 147 65 20 0
2019-06-11-21-41-44.276043 -66 85 20 0
2019-06-11-21-41-44.311057 23 15 20 0
2019-06-11-21-41-44.354708 -170 23 20 0
2019-06-11-21-41-44.389832 -118 55 43 0
2019-06-11-21-41-44.426313 327 75 43 0
2019-06-11-21-41-44.459408 -35 95 43 0
2019-06-11-21-41-44.495709 -2048 15 43 0
2019-06-11-21-41-44.538130 -2023 22 43 0
2019-06-11-21-41-44.568843 2047 35 43 0
2019-06-11-21-41-44.617639 2003 45 43 0
2019-06-11-21-41-44.663023 474 85 43 0
2019-06-11-21-41-44.699748 412 89 43 0
2019-06-11-21-41-44.739203 -2048 25 43 0
2019-06-11-21-41-44.773340 -2048 45 43 0
2019-06-11-21-41-44.809825 -1205 65 43 0
2019-06-11-21-41-44.846433 -555 85 43 0
2019-06-11-21-41-44.877269 -373 95 43 0
2019-06-11-21-41-44.912932 -373 95 43 0
2019-06-11-21-41-44.947099 -60 35 43 0
2019-06-11-21-41-44.980366 -12 55 43 0
2019-06-11-21-41-45.014094 7 75 43 0
2019-06-11-21-41-45.048986 19 95 43 0
2019-06-11-21-41-45.080515 23 15 43 0
2019-06-11-21-41-45.121354 25 27 43 0
2019-06-11-21-41-45.164357 26 45 43 0
2019-06-11-21-41-45.199522 26 55 43 0
2019-06-11-21-41-45.237719 27 85 43 0
2019-06-11-21-41-45.275181 28 5 43 0
2019-06-11-21-41-45.313369 28 25 43 0
2019-06-11-21-41-45.348141 28 35 43 0
2019-06-11-21-41-45.381570 28 54 43 0
2019-06-11-21-41-45.418846 27 74 43 0
2019-06-11-21-41-45.458375 28 94 43 0
2019-06-11-21-41-45.495773 27 14 43 0
2019-06-11-21-41-45.532357 28 34 43 0
2019-06-11-21-41-45.570698 41 54 43 0
2019-06-11-21-41-45.607554 195 74 43 0
2019-06-11-21-41-45.642741 87 4 43 0
2019-06-11-21-41-45.679592 -78 24 43 0
2019-06-11-21-41-45.712480 -22 44 43 0
2019-06-11-21-41-45.757446 48 54 43 0
